date,chain,store_id,barcode,cbs_code,cbs_name,group,product_name,name,manufacturer,quantity,unit_of_measure,unit_qty,is_weighted,price,unit_price,promo_price,promo_min_qty,promo_desc,promo_id,effective_price,price_update,found,source_file,promo_file
2026-09-16,shufersal,290,7290020216953,120070,לחם,food,אנג'ל לחם PRO מלא פר,לחם פרו 500 גרם,מאפיית שלמה א. אנגל,500.0,100 גרם,גרם,0,21.9,4.38,,,,,21.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290018500361,120070,לחם,food,לחם אחיד פרוס 900 גרם,לחם אחיד פרוס 900 גרם,מאפיית שלמה א. אנגל,900.0,100 גרם,גרם,0,10.05,1.12,,,,,10.05,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290002065555,120070,לחם,food,לחמניות בשקית 6*75 גרם,לחמניות בשקית 6*75 גרם,מאפיית שלמה א. אנגל,450.0,100 גרם,גרם,0,12.5,2.78,,,,,12.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000074252,120080,"ביסקוויטים, עוגות וכדומה",food,אסם קרקר שומשום 250ג,קרקר שומשום 250 גרם,"אסם תעשיות מזון בע""מ",250.0,100 גרם,גרם,0,11.2,4.48,,,,,11.2,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290115201727,120080,"ביסקוויטים, עוגות וכדומה",food,ביסלי חטיף בטעם בצל,ביסלי בצל 200 גרם,"אסם תעשיות מזון בע""מ",200.0,100 גרם,גרם,0,7.9,3.95,,,,,7.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000074245,120080,"ביסקוויטים, עוגות וכדומה",food,קרם קרקר אסם 250 גרם,קרם קרקר 250 גרם,"אסם תעשיות מזון בע""מ",250.0,100 גרם,גרם,0,9.9,3.96,,,,,9.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7297488098183,120090,קמח,food,קמח אורז ללא גלוטן 500 ג,קמח אורז ללא גלוטן 500 ג,"דג""ש",500.0,100 גרם,גרם,0,12.9,2.58,,,,,12.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7297488098305,120090,קמח,food,קמח שקדים דגש 250 גרם,קמח שקדים 250 גרם,,250.0,100 גרם,גרם,0,27.9,11.16,,,,,27.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290100702383,120090,קמח,food,"קמח תופח סוגת 1 ק""ג","קמח תופח 1 ק""ג סוגת","שטיבל בע""מ",1.0,1קילוגרם,קילוגרם,0,8.9,8.9,,,,,8.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000060163,120100,מוצרי בצק,food,אטריות דקות אסם 400,אטריות דקות 400 גרם,"אסם תעשיות מזון בע""מ",400.0,100 גרם,גרם,0,7.9,1.98,,,,,7.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000060965,120100,מוצרי בצק,food,אטריות רחבות אסם 400,אטריות רחבות 400 גרם,"אסם תעשיות מזון בע""מ",400.0,100 גרם,גרם,0,7.9,1.98,,,,,7.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290100702260,120100,מוצרי בצק,food,קוסקוס דק סוגת 350 ג,קוסקוס דק 350ג סוגת,"אסיף תעשיות מזון בע""מ",350.0,100 גרם,גרם,0,6.5,1.86,,,,,6.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290100704691,120110,קטניות ומוצרי דגן,food,אורז אדום 500ג סוגת,אורז אדום 500ג סוגת,"סוגת תעשיות בע""מ",500.0,100 גרם,גרם,0,10.9,2.18,,,,,10.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000211985,120110,קטניות ומוצרי דגן,food,אורז עגול ריזוטו 1 ק,"אורז עגול 1 ק""ג סוגת",סוגת,1.0,1קילוגרם,קילוגרם,0,12.9,12.9,,,,,12.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290100700587,120110,קטניות ומוצרי דגן,food,בורגול 500 גרם סוגת,בורגול 500 גרם סוגת,סוגת,500.0,100 גרם,גרם,0,7.9,1.58,,,,,7.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290001201862,120120,ביצים,food,12 ביצים חופש L מ. ל,ביצי חופש 12יח L,---,1.0,יחידות,יחידות,0,21.9,21.9,,,,,21.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290001201886,120120,ביצים,food,12 ביצים חופש M מ.לס,ביצי חופש 12יח M,---,1.0,יחידות,יחידות,0,20.9,20.9,,,,,20.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290004011819,120140,בשר בקר,food,בורגר אנטריקוט360 אלגאצו,בורגר אנטריקוט360 אלגאצו,"טיבון ויל אחזקות בע""מ",360.0,100 גרם,גרם,0,26.9,7.47,,,,,26.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290002453697,120140,בשר בקר,food,קבב אנטריקוט קצבים א,קבב אנטריקוט קצבים,---,400.0,100 גרם,גרם,0,31.9,7.98,,,,,31.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290019205920,120160,עופות,food,צונגו פנקו שניצל עוף טו,צונגו פנקו שניצל עוף טו,---,600.0,100 גרם,גרם,0,42.9,7.15,,,,,42.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
